LAYER,P,R,F
0,0.47289124,0.48105296,0.46856412
1,0.5294184,0.56127214,0.5408627
2,0.53734356,0.57843035,0.5544782
3,0.53222007,0.5712022,0.5492111
4,0.54175186,0.5757286,0.55721927
5,0.56721425,0.60034037,0.5827313
6,0.5608792,0.59361905,0.57648546
7,0.570777,0.60099363,0.58514935
8,0.581851,0.61035085,0.5954412
9,0.5900219,0.6189185,0.6037486
10,0.62314826,0.64643997,0.6340787
11,0.66371083,0.68353635,0.672925
12,0.59619546,0.64286846,0.6177977
