LAYER,P,R,F
0,0.18268502,0.19336481,0.18656623
1,0.26993302,0.28411296,0.27578124
2,0.36385632,0.38488388,0.37351844
3,0.4067317,0.41541252,0.41070673
4,0.40283012,0.40861154,0.40546012
5,0.43387875,0.42757025,0.4305482
6,0.45301685,0.4458027,0.44932166
7,0.45834628,0.44496056,0.45147815
8,0.4852256,0.4683055,0.47647917
9,0.536122,0.51670164,0.52617747
10,0.522974,0.5005897,0.51145554
11,0.58499044,0.5617674,0.5730409
12,0.8346627,0.8239517,0.8292504
