LAYER,P,R,F
0,0.261188,0.23956662,0.24902253
1,0.339882,0.3191477,0.32822263
2,0.4109222,0.39916563,0.404372
3,0.42559317,0.41274658,0.4186798
4,0.5049308,0.4983349,0.50140023
5,0.57869226,0.57456356,0.5764334
6,0.6542917,0.6525859,0.65331906
7,0.6353561,0.6333679,0.6342873
8,0.58654225,0.5775543,0.58197325
9,0.5762218,0.5676304,0.57182676
10,0.6533926,0.65153813,0.6523874
11,0.6516494,0.6515701,0.6515704
12,0.5259815,0.5201859,0.5230601
