LAYER,P,R,F
0,0.22238038,0.205633,0.21314116
1,0.30955982,0.28665483,0.2971236
2,0.3829058,0.36226228,0.37177384
3,0.4042364,0.38525257,0.3941462
4,0.47778502,0.467393,0.47230506
5,0.547885,0.5427869,0.54519826
6,0.614544,0.61148673,0.6129375
7,0.52197534,0.5272324,0.5244463
8,0.44963083,0.45417467,0.45167127
9,0.43514428,0.42346156,0.4289604
10,0.45725963,0.42657506,0.44127217
11,0.4377235,0.41013122,0.42344686
12,0.50209683,0.49762118,0.49948135
