LAYER,P,R,F
0,0.2776351,0.26591724,0.27001277
1,0.34371102,0.33467367,0.33779308
2,0.41409382,0.41072354,0.41177002
3,0.4356105,0.4396349,0.43694773
4,0.51420426,0.5139132,0.51377463
5,0.5982562,0.59467554,0.59627545
6,0.66315407,0.66423273,0.6635434
7,0.5781476,0.5754898,0.5766123
8,0.49211788,0.4907348,0.49108997
9,0.4721445,0.48303977,0.47690785
10,0.4892224,0.5083948,0.49762785
11,0.47453627,0.49276432,0.4827453
12,0.5996851,0.61457497,0.60673374
