LAYER,P,R,F
0,0.4015877,0.40194446,0.40076786
1,0.45676914,0.45703524,0.45621693
2,0.5301661,0.53025097,0.52984047
3,0.56858414,0.5687651,0.56843543
4,0.6024884,0.6025905,0.60237765
5,0.58645916,0.5863255,0.5862438
6,0.5839633,0.5837976,0.5837543
7,0.55755955,0.5575753,0.55744654
8,0.5301547,0.5302092,0.53006077
9,0.5430159,0.5429963,0.5428714
10,0.5872079,0.5875912,0.58725154
11,0.5705942,0.57099736,0.570567
12,0.44499445,0.44515464,0.44476208
