LAYER,P,R,F
0,0.31718096,0.33335388,0.32210457
1,0.44724423,0.44828776,0.44717813
2,0.6351129,0.6310186,0.63258034
3,0.71996385,0.72062534,0.7201013
4,0.7146248,0.71623594,0.7152268
5,0.74641174,0.7476537,0.74686575
6,0.739003,0.7445909,0.7416575
7,0.77292615,0.77874446,0.7757154
8,0.7740482,0.7798627,0.77685255
9,0.8031312,0.80781937,0.80539405
10,0.82397807,0.82845694,0.8261419
11,0.8588034,0.8642556,0.86148405
12,0.9804234,0.98084223,0.9806317
