LAYER,P,R,F
0,0.8753488,0.8750665,0.8696983
1,0.84145033,0.8413688,0.8362063
2,0.8157024,0.8160897,0.81193644
3,0.810431,0.81097823,0.807778
4,0.8164925,0.81711024,0.8146696
5,0.81953263,0.82017154,0.81804293
6,0.8195673,0.82018423,0.8182689
7,0.82167435,0.822174,0.8204841
8,0.8264297,0.8267663,0.82530546
9,0.831369,0.83164835,0.8302898
10,0.8411722,0.84145963,0.840171
11,0.8371348,0.8373982,0.8354671
12,0.8493445,0.84935933,0.8476367
