LAYER,P,R,F
0,0.49994934,0.46165618,0.4798365
1,0.5386406,0.512976,0.5254499
2,0.57575744,0.55388904,0.5645892
3,0.6304797,0.60384613,0.61680186
4,0.64844537,0.6168345,0.6320866
5,0.64107394,0.6051717,0.6224289
6,0.6283294,0.5872716,0.6068039
7,0.6181147,0.5771347,0.59661996
8,0.60864204,0.56061184,0.5833002
9,0.6212508,0.57314134,0.59604144
10,0.6711081,0.62791705,0.64868367
11,0.69827,0.66184425,0.67940724
12,0.61088127,0.5646382,0.5863724
