LAYER,P,R,F
0,0.38113332,0.3771584,0.3788857
1,0.39994964,0.40015137,0.3997578
2,0.42406633,0.42606992,0.4248579
3,0.4498555,0.45622802,0.45290968
4,0.46281427,0.46555233,0.4641518
5,0.44333926,0.44182622,0.4425671
6,0.45097187,0.4417734,0.44627666
